gamma,beta,expected_cut,approximation_ratio,top_measurement,top_probability
0.6283185307179586,1.0210176124166828,0.5115096020610705,0.2557548010305353,000,0.37212259948473236
0.6283185307179586,1.0995574287564276,0.48242794066409217,0.24121397033204608,000,0.37939301483397697
0.6283185307179586,1.1780972450961724,0.5275889856692398,0.2637944928346199,000,0.36810275358269007
0.6283185307179586,1.2566370614359172,0.6425720593359079,0.32128602966795394,000,0.33935698516602303
0.6283185307179586,1.335176877775662,0.8161218172794196,0.4080609086397098,000,0.29596954568014505
0.6283185307179586,1.413716694115407,1.0312499999999996,0.5156249999999998,000,0.2421875000000001
0.6283185307179586,1.4922565104551517,1.2668983620867715,0.6334491810433858,000,0.18327540947830712
0.6283185307179586,1.5707963267948966,1.5,0.75,000,0.125
0.7853981633974483,0.0,1.5,0.75,000,0.125
0.7853981633974483,0.07853981633974483,1.713408939391893,0.8567044696959465,010,0.1427840782826578
0.7853981633974483,0.15707963267948966,1.86922031210996,0.93461015605498,001,0.1557683593424967
0.7853981633974483,0.23561944901923448,1.9521822153908883,0.9760911076954442,001,0.162681851282574
0.7853981633974483,0.3141592653589793,1.9541737601119706,0.9770868800559853,001,0.16284781334266424
0.7853981633974483,0.39269908169872414,1.875,0.9375,001,0.15625
0.7853981633974483,0.47123889803846897,1.7224110143307598,0.8612055071653799,010,0.14353425119423002
0.7853981633974483,0.5497787143782138,1.5113432761715337,0.7556716380857669,001,0.12594527301429448
0.7853981633974483,0.6283185307179586,1.2624575663287498,0.6312287831643749,000,0.1843856084178126
0.7853981633974483,0.7068583470577035,1.0001165521705282,0.5000582760852641,000,0.24997086195736798
0.7853981633974483,0.7853981633974483,0.75,0.375,000,0.31250000000000006
0.7853981633974483,0.8639379797371931,0.5365910606081068,0.2682955303040534,000,0.36585223484797325
0.7853981633974483,0.9424777960769379,0.38077968789004,0.19038984394502,000,0.40480507802749
0.7853981633974483,1.0210176124166828,0.2978177846091121,0.14890889230455606,000,0.42554555384772197
0.7853981633974483,1.0995574287564276,0.2958262398880297,0.14791311994401485,000,0.4260434400279926
0.7853981633974483,1.1780972450961724,0.37499999999999994,0.18749999999999997,000,0.40625000000000006
0.7853981633974483,1.2566370614359172,0.52758898566924,0.26379449283462,000,0.36810275358269
0.7853981633974483,1.335176877775662,0.7386567238284667,0.36932836191423335,000,0.3153358190428833
